,establishment,type,month,value
562,Bhadohi,Deletion,April,46.0
563,Bhadohi,Deletion,May,27.0
564,Bhadohi,Modification,March,233.0
565,Bhadohi,Modification,April,206.0
566,Bhadohi,Modification,May,212.0
567,Bhagwantnagar,Addition,March,179.0
568,Bhagwantnagar,Addition,April,160.0
569,Bhagwantnagar,Addition,May,150.0
570,Bhagwantnagar,Deletion,March,12.0
571,Bhagwantnagar,Deletion,April,48.0
572,Bhagwantnagar,Deletion,May,2.0
573,Bhagwantnagar,Modification,March,92.0
574,Bhagwantnagar,Modification,April,93.0
575,Bhagwantnagar,Modification,May,75.0
576,Bharthana,Addition,March,107.0
577,Bharthana,Addition,April,84.0
578,Bharthana,Addition,May,121.0
579,Bharthana,Deletion,March,21.0
580,Bharthana,Deletion,April,51.0
581,Bharthana,Deletion,May,621.0
582,Bharthana,Modification,March,301.0
583,Bharthana,Modification,April,138.0
584,Bharthana,Modification,May,119.0
585,Bhatpar Rani,Addition,March,302.0
586,Bhatpar Rani,Addition,April,147.0
587,Bhatpar Rani,Addition,May,132.0
588,Bhatpar Rani,Deletion,March,26.0
589,Bhatpar Rani,Deletion,April,35.0
590,Bhatpar Rani,Deletion,May,5.0
591,Bhatpar Rani,Modification,March,163.0
592,Bhatpar Rani,Modification,April,159.0
593,Bhatpar Rani,Modification,May,141.0
594,Bhinga,Addition,March,266.0
595,Bhinga,Addition,April,219.0
596,Bhinga,Addition,May,217.0
597,Bhinga,Deletion,March,23.0
598,Bhinga,Deletion,April,6.0
599,Bhinga,Deletion,May,13.0
600,Bhinga,Modification,March,170.0
601,Bhinga,Modification,April,165.0
602,Bhinga,Modification,May,105.0
603,Bhognipur,Addition,March,94.0
604,Bhognipur,Addition,April,47.0
605,Bhognipur,Addition,May,56.0
606,Bhognipur,Deletion,March,6.0
607,Bhognipur,Deletion,April,16.0
608,Bhognipur,Deletion,May,10.0
609,Bhognipur,Modification,March,133.0
610,Bhognipur,Modification,April,45.0
611,Bhognipur,Modification,May,43.0
612,Bhojipura,Addition,March,397.0
613,Bhojipura,Addition,April,338.0
614,Bhojipura,Addition,May,309.0
615,Bhojipura,Deletion,March,11.0
616,Bhojipura,Deletion,April,40.0
617,Bhojipura,Deletion,May,7.0
618,Bhojipura,Modification,March,137.0
619,Bhojipura,Modification,April,162.0
620,Bhojipura,Modification,May,161.0
621,Bhojpur,Addition,March,90.0
622,Bhojpur,Addition,April,98.0
623,Bhojpur,Addition,May,130.0
624,Bhojpur,Deletion,March,12.0
625,Bhojpur,Deletion,April,22.0
626,Bhojpur,Deletion,May,3.0
627,Bhojpur,Modification,March,94.0
628,Bhojpur,Modification,April,65.0
629,Bhojpur,Modification,May,77.0
630,Bhongaon,Addition,March,130.0
631,Bhongaon,Addition,April,118.0
632,Bhongaon,Addition,May,148.0
633,Bhongaon,Deletion,March,34.0
634,Bhongaon,Deletion,April,38.0
635,Bhongaon,Deletion,May,31.0
636,Bhongaon,Modification,March,88.0
637,Bhongaon,Modification,April,73.0
638,Bhongaon,Modification,May,78.0
639,Bidhuna,Addition,March,110.0
640,Bidhuna,Addition,April,60.0
641,Bidhuna,Addition,May,80.0
642,Bidhuna,Deletion,March,19.0
643,Bidhuna,Deletion,April,42.0
644,Bidhuna,Deletion,May,11.0
645,Bidhuna,Modification,March,66.0
646,Bidhuna,Modification,April,60.0
647,Bidhuna,Modification,May,60.0
648,Bijnor,Addition,March,351.0
649,Bijnor,Addition,April,247.0
650,Bijnor,Addition,May,206.0
651,Bijnor,Deletion,March,65.0
652,Bijnor,Deletion,April,96.0
653,Bijnor,Deletion,May,32.0
654,Bijnor,Modification,March,277.0
655,Bijnor,Modification,April,178.0
656,Bijnor,Modification,May,133.0
657,Bikapur,Addition,March,218.0
658,Bikapur,Addition,April,167.0
659,Bikapur,Addition,May,178.0
660,Bikapur,Deletion,March,25.0
661,Bikapur,Deletion,April,20.0
662,Bikapur,Deletion,May,5.0
663,Bikapur,Modification,March,153.0
664,Bikapur,Modification,April,119.0
665,Bikapur,Modification,May,141.0
666,Bilari,Addition,March,740.0
667,Bilari,Addition,April,213.0
668,Bilari,Addition,May,325.0
669,Bilari,Deletion,March,44.0
670,Bilari,Deletion,April,47.0
671,Bilari,Deletion,May,15.0
672,Bilari,Modification,March,310.0
673,Bilari,Modification,April,187.0
674,Bilari,Modification,May,164.0
675,Bilaspur,Addition,March,485.0
676,Bilaspur,Addition,April,268.0
677,Bilaspur,Addition,May,225.0
678,Bilaspur,Deletion,March,1812.0
679,Bilaspur,Deletion,April,41.0
680,Bilaspur,Deletion,May,153.0
681,Bilaspur,Modification,March,532.0
682,Bilaspur,Modification,April,218.0
683,Bilaspur,Modification,May,146.0
684,Bilgram-Mallanwan,Addition,March,93.0
685,Bilgram-Mallanwan,Addition,April,65.0
686,Bilgram-Mallanwan,Addition,May,62.0
687,Bilgram-Mallanwan,Deletion,March,12.0
688,Bilgram-Mallanwan,Deletion,April,32.0
689,Bilgram-Mallanwan,Deletion,May,7.0
690,Bilgram-Mallanwan,Modification,March,130.0
691,Bilgram-Mallanwan,Modification,April,97.0
692,Bilgram-Mallanwan,Modification,May,111.0
693,Bilhaur,Addition,March,212.0
694,Bilhaur,Addition,April,103.0
695,Bilhaur,Addition,May,344.0
696,Bilhaur,Deletion,March,9.0
697,Bilhaur,Deletion,April,10.0
698,Bilhaur,Deletion,May,5.0
699,Bilhaur,Modification,March,80.0
700,Bilhaur,Modification,April,129.0
701,Bilhaur,Modification,May,77.0
702,Bilsi,Addition,March,215.0
703,Bilsi,Addition,April,225.0
704,Bilsi,Addition,May,213.0
705,Bilsi,Deletion,March,27.0
706,Bilsi,Deletion,April,38.0
707,Bilsi,Deletion,May,6.0
708,Bilsi,Modification,March,137.0
709,Bilsi,Modification,April,130.0
710,Bilsi,Modification,May,93.0
711,Bindki,Addition,March,199.0
712,Bindki,Addition,April,141.0
713,Bindki,Addition,May,205.0
714,Bindki,Deletion,March,7.0
715,Bindki,Deletion,April,15.0
716,Bindki,Deletion,May,29.0
717,Bindki,Modification,March,87.0
718,Bindki,Modification,April,87.0
719,Bindki,Modification,May,83.0
720,Bisalpur,Addition,March,101.0
721,Bisalpur,Addition,April,84.0
722,Bisalpur,Addition,May,68.0
723,Bisalpur,Deletion,March,31.0
724,Bisalpur,Deletion,April,29.0
725,Bisalpur,Deletion,May,24.0
726,Bisalpur,Modification,March,72.0
727,Bisalpur,Modification,April,80.0
728,Bisalpur,Modification,May,53.0
729,Bisauli,Addition,March,330.0
730,Bisauli,Addition,April,337.0
731,Bisauli,Addition,May,321.0
732,Bisauli,Deletion,March,29.0
733,Bisauli,Deletion,April,37.0
734,Bisauli,Deletion,May,23.0
735,Bisauli,Modification,March,165.0
736,Bisauli,Modification,April,155.0
737,Bisauli,Modification,May,169.0
738,Bishwavnathganj,Addition,March,346.0
739,Bishwavnathganj,Addition,April,241.0
740,Bishwavnathganj,Addition,May,237.0
741,Bishwavnathganj,Deletion,March,27.0
